ItemNumber,sentence,checkNoteRelevant
2235,This board is worth $240 just for the SSM2044 chips!,
2259,received 7 extra on PO 22519,
2262,LENGTHY BACKORDER  5/21/19-5/10/21 Backordered.MM  ***ADD TO WEBSITE THAT THERE ARE SUBS***,
2273,2.4.24-8.24.24 Roland shows NLA,
2274,Backorder 2021 was 11 mos.,
2275,FREQUENT BACKORDER 7+ mos  10.6.21-1.3.22 Backordered.MM,
2276,Connects between key contact boards,
2278,FREQUENT LENGTHY BACKORDER  Monotribe added 9.16.24 KM,
2279,ADD DIMENSIONS,
2280,Can sub 3552,
2285,6.27.23 Korg verified NLA.,
2285,", BO at Korg so changing supplier KM 9.28.23",
2290,"3.14.24 Korg canceled 1-22299, but still orderable, not a proprietary part.",
2290,Sam says we do not want to carry this anymore.,
2292,"TAKE THESE APART AND KEEP PIECES SEPARATED, bag as 2 separate pieces to make up this one part.",
2293,"There are two used ones, not in stock, upstairs, for tech now, or when all new are gone",
2294,"New part 5.6.24, in transit 1/9/25",
2295,Triton added 12.11.24 KM,
2296,ADD DIMENSIONS,
2317,"Order from Luke Aldred (LAProductions@live.com.au)    
#2233 can work as a sub., overflow on U503",
2320,PACKAGING: Leave in original box.,
2320,"Otherwise, lay out flat (not folded over), and sandwich between two cardboards.",
2320,Frequent backorder 4+ mos.,
2320,Consumer price $147.68   ****be aware WE ALSO LIST 2320U***   Requires soldering of the wiring connector (right side of the photo).,
2320,"1-22404 in transit, Eta 5.28.24",
2322,make sure this new part # looks like the picture!,
2322,"1.24.25, Frequent backorder 3+ mos  11.22.24 3-22495 and 3-22575 still on BO, VY750801 shows nla, changed to previous pn VY750810 ,",
2324,If none on shelf ask tech to make more.,
2324,We simply cut these from finishing nails.,
2324,12/16/23 - Discontinued this part.,
2324,SM,
2325,This fits onto the 'finger' on the underside of a key,
2326,supplier changed 11.18.24,
2327,Kurz so nla at ams 10.1.24 supplier changed,
2332,ADD DIMENSIONS,
2335,ADD DIMENSIONS,
2338,"2.2.23 Cost increase from $4.25 to $6.24, raised price from 9.95 to $14.95.MM",
2340,"6.7.21 Eight on waitlist, putting one in stock.",
2340,This is a good part for 3D printing.,
2341,Please get hard plastic shell versions of these when reordering.,
2341,Soft ones break too easily.,
2341,NZM 9/24/22.,
2341,"Raised min from 4 to 25, used for CVP100 pedals NZM",
2342,"Identical to #1688, except for metal frame.",
2345,GIVE TO TECH.,
2345,MOUSER PART NEEDS TO BE MODIFIED with 6-pin male DIN connector - give these to tech for modification prior to stocking or filling backorders.,
2345,"5.21.24 Order # 157821 emailed wanting to return, 1 missing 8.28",
2348,1.21.25 9 avail.,
2348,2.23.25 4 avail,
2353,8.22.23 Yamaha shows NLA.MM,
2354,Backorder was 3 mos.,
2355,Korg is selling on Reverb for $5,
2357,"If we get this NEW, give to Sam.",
2357,CIC cable SHOULD NOT be removed from contact strip.,
2357,This can work in a JD-800.,
2359,Potentiometer with drawbar.,
2359,Overstock in U1.,
2361,Good candidate for 3D printing.,
2362,CAN SUBSTITUTE 1214 (black instead of dark blue),
2363,9 found and sent to Hickory - maybe 1 is upstairs?,
2365,"Overstock is in U4 - 9 are at Hickory, 10/29/24, SM",
2367, 1.5.24 Roland shows -1.,
2368,4 at Hickory,
2372,Overflow in U1,
2374,One in U1,
2382,8.7.24 Cost increase from .49 to .65,
2383,ADD DIMENSIONS.,
2383,"Same as 3238, but darker gray?",
2383,"1.5.22 If we get more, please notify edwinnava2001@yahoo.com BEFORE PUTTING THEM IN STOCK as we made an error and had to cancel his order for five today.MM, PA2X Pro added 8.29.24 KM",
2386,End panel set is #1120.,
2386,"ONCE THIS HAS SOLD, DISCONTINUE THIS PART.",
2386,We have to purchase these in pairs.,
2386U,"This item is DAMAGED, 2386 is NEW",
2389,"Similar switch with amber LED is 1682. , C550 added 7.16.24 KM",
2397,4.24.24 One missing,
2402,"Same power adapter as Behringer MXUL3, for Eurorack MXUL5, UB1202, Xenyx 1202 & Q1202USB.",
2402,Lase FX-MX5-MP3 works.,
2402,"6.28.23 - zxpc offers on eBay for $44.99, emailed for qty pricing.",
2411,05R/W added 6.20.24 KM,
2411X,05R/W added 6.20.24 KM,
2414,"Very similar to #6411, but #6411 is longer.",
2418,Second  part number from Mouser is OK if first is not available.MM,
2419,ADD DIAMETER.,
2419,1.2.24 3-22162 canceled by CAE.,
2419,12.14.24-12.28.24 Roland shows -1,
2420,Frequent backorder 3 mos,
2436,"CHECK IN AS 3 PARTS: #2436 (KLM-949), #2438 (KLM-947), #2440 (KLM-948)",
2437,i5S added 11.20.24 KM,
2438,Get with #2436,
2439,Same foot for smaller mounting hole is #4272.,
2439,All Roland listings have been double-checked; Korg have not.,
2439,"*** 9 used in stock, not in inventory.",
2440,Get with #2436,
2451,"X3 added 10.4.24 KM, i4S added 11.20",
2452,"i2 added 9.23.24 KM, i3 added 9.26, X3 added 10.4, i30 added 11.18, i4S added 11.20, Triton added 12.11, Karma added 1.23",
2454,Sam makes this.,
2455,#2420 is a good sub.,
2455,This is the original part for the Micron.,
2457,FREQUENT BACKORDER 6 mos,
2461,"Identical to #5141, but with longer stem",
2483,Works with 4742 display.,
2493,GO TO TECH FOR COMPLETION before shelving.,
2493,"These are 3D printed, and need to go to tech to have top sanded and edges rounded before stocking.",
2493,Check with Nick if not on the shelf.,
2494,Recount needed,
2495,"6.10.21 Twenty-one on wait list, put 3 in stock.",
2495,"Emailed Frankie, updated part number, now available.MM, NLA -supplier changed 2.27.25",
2496,8.6.24-2.25.25 BO at Korg,
2497,Equivalent is #3584,
2499,#4801 is probably a workable replacement,
2505,Add more details on this screw,
2506,ADD DIMENSIONS,
2511,"These are 3D printed, and need to go to Nick to be finished before stocking.",
2511,Check with Nick if not on the shelf.,
2512,*****DO NOT CHECK IN AND SHELVE  *** Jameco adapter is backwards polarity - these NEED TO GO TO TECH DEPT FIRST to have a new plug (part #2668) installed.,
2523,ADD DIMENSIONS,
2531,ADD LEVER LENGTH,
2532,Change to NEW when restocking,
2541,"Equivalent to SAA1004N (#5645), SAJ210",
2548,Overstock is upstairs on front shelf,
2558,We must know which key the customer needs the board for!!!,
2558,And these need to be marked before going into stock.,
2558,Extra upstairs in U1 - TP,
2567,"Equivalent to SAA1004N (#5645), SAJ210, HBF4727",
2570,Can be cut from CS3226,
2572,ADD DIMENSIONS.,
2572,We have never tried to order this from Arturia,
2577,Order on eBay  11.25.24 One missing for Order # 166405   11/25/24 - ordered 20 on eBay.,
2577,SM,
2586,*** TAKE NEW PIC WHEN RECEIVED ***,
2587, Xvive has a new version of this chip.,
2587,"SM WHEN RECEIVED, CHANGE SUPPLIER BACK TO Xvive.",
2587,Cy/Tech Transplant is current supplier 3/9/23.NZM  (Ordered these from eBay satisfyelectronics and got non-working fakes.),
2589,NEED BETTER PHOTO,
2591,"Similar to 5904, except for bushing",
2592,DO NOT PUT IN STOCK.,
2592,Give to Mary!,
2592,We owe on BO.MM   8/5/21-12.28.24  None available.,
2593,3.22.21 Frankie says should have 6 in 2 weeks.MM,
2594,Frequent Backorder 5 mos,
2595,"Formerly thought this was correct part for #2101, but it is not",
2597,9.22.22 Thirty-five are taken out of stock and thrown away as last customer says they do not work.MM,
2599,Avail from UTSource,
2602,These knobs do NOT fit the Arp Odyssey,
2604,Probably identical to #1735?,
2605,9/27/24 - Ordered 20 on eBay.,
2605,Avail from UTSource,
2611,"6.5.23 Overstock at Syntaur North.SM, 1 in U7 12.12.23",
2613,Can order from UTSource,
2618,ADD DOCUMENTATION.,
2618,"Avail Mouser 12/26 , cost increase from 17.72 to 20.38 price not adjusted 11.2.23 KM",
2619,"6.12.21 Four on wait list, putting one in stock from Perfect Circuit.MM  Same as #10197 for Emax II, except ribbon cable is different length.",
2619,2619=11 inches,
2622,$1.74 ea/10,
2633,We cut this ourselves.,
2636, Frequent backorder 3 mos   5/30/23 - #5567 has been merged into #2636.,
2640,MAKE SURE NEW PART FROM MOUSER MATCHES.,
2641,ADD PHOTO,
2644,2 in U1 12.27.24 KM,
2645,"5.10.23 Made NLA, as this is the only thing we were getting from Hammond and sales don't justify keeping it in stock",
2651,cost increase form 0.96 to 1.93 price not adjusted 8.14.23 KM.,
2651,"2.7.24 Cost increase to $2.18 price not adjusted, Havian 30 added 11.18.24 kM",
2653,Equivalent to #2733,
2654,ADD DIMENSIONS.,
2654,Korg shows discontinued 9.5.23,
2655,10.13.23-2.28.25 Roland shows nla,
2659,12/10/23 - ordered 8 on eBay from e2yunmaoe2,
2661,5/9/23 - ordered 10 from Little Diode on eBay,
2662,Lengthy backorder  3+ mos,
2666,"Frequent Lengthy Backorder **OVERSTOCK UPSTAIRS** 4 mos 7.18.22 Twenty missing, adjusted inventory.",
2666,7.20.22 Sam looked for other keyboards that use this.MM,
2667,Frequent Backorder 12+ mos,
2668,"11.19.24 Cost increase from $1.42 to $1.59, increased prices $1, first increase since 2017",
2670,Frequent backorder 3 mos.,
2673,REDO PHOTO WHEN RESTOCKING - Jameco part is LM317T,
2676,You can *probably* use this in an MR-76 or MR-61 by setting 2 jumpers correctly.,
2678,"#1496 is identical, but slightly duller blue.",
2678,"12.29.23 Emailed wait list link to #1496 (skflex092@gmail.com, rmxaman725090@gmail.com, kondapaturinawin@gmail.com & 	gosaijaydip1234@gmail.com).MM",
2680,"Ordered thru eBay, 6/8/23 - SM",
2681,"We don't have much we order from Alltronics, so changed to Mouser.MM",
2684,Overstock is upstairs,
2685,Volca Bass added 9.17.24 KM,
2686,Frequent Backorder 5 mos.,
2686,10.31.24 Cost decrease from $4.50 to $2.63,
2690,See #2691 for ordering info.,
2690,bo at Korg 10.19.23  note cust waiting!,
2691,"CHECK IN AS TWO PARTS, #2691 and #2690
bo at Korg 10.19.23",
2692,Backorder was 8 mos.,
2692,4.19.23-7.18.23 Backordered.,
2692,"This IC is no longer manufactured, so no telling how long Korg will have them available...  7/7/23 - Ordered one from China on ebay (not added to On Order).",
2692,SM.,
2692,"8.11.23 cost increase from $32 to $59 so increased price from $69 to $99.MM, CX3 later added 7.22.24 KM.",
2692,"2.17.25 When backordered, order 2 please.",
2692,2.24.25 Backordered,
2694,Volca Bass added 9.17.24 KM,
2696,Used chips are in bag for shop use.,
2697,"This is an old part, but just added Yamaha info 12/12/23.",
2697,SM,
2699,Different pin configuration from #1590.,
2703,Lever length?,
2707,Includes nut and washer.,
2709,Lever length?,
2710,Avail from Consolidated Electronics for $9.95,
2713,"Subs for #11415, same except for color.",
2714,"Identical to 3786, except 1/2-inch longer",
2717,10.29.24 Roland shows -3.,
2717,12.27.24 none avail,
2718,Can cut from 12-note strip (#2720).,
2719,Can cut from 12-note strip (#2720).,
2720,See if needed for one in stock of # 2719 and #2718 please.,
2720,This can be cut to make 8-note (#2719) and 4-note (#2718).,
2720,12.27.24 2 avail,
2721,1.18.24 Discontinued.MM,
2723,Same board number for #2724.,
2723,"#2723 is slightly shorter, and has much more electronics.",
2724,Same board number for #2723.,
2724,"#2723 is slightly shorter, and has much more electronics.",
2725,"Same as #1076, except for color.",
2725,"6.30.23 Cost increase from 11.11 to $15.48, so increased price",
2726,"12.30.24 cost increase from $1.53 to $2.27 ea or 10 @ 1.46 each, compare to Yamaha prices",
2733,Equivalent to #2653,
2739S,"Package with documentation, 2739S.pdf",
2741,We cut this ourselves.,
2742,Non-stocked item at Mouser.,
2742,"**Sold 10 in 2020** , $1 cheaper from AMS price not decreased 5.20.24 KM",
2743,"Backorder 5+mos  Second part number requires two, so add caution if ordering this part number.",
2743,LP-380U added 1.24.25 KM.,
2743,2.13.25 2-22721 Korg shows 5-22721 shipped in December so took on order from 2 to zero.,
2743,"3.26.25 Korg exp to ship 9 on Apr 25 2025, 1 on Jul 15 2025, M3 88 3.31",
2745,"2 new and 1 used in stock, 10/7/24.",
2745,"11.29.23 Changed supplier to Not Available.MM , 6 cancelled by YA 11.30.23",
2758,"Similar to #4377, but shaft is slightly smaller",
2762,Uses #6362 nut,
2770,7.14.24-2.28.25 Roland shows as nla,
2779,Frequent backorder 2 mos  11.29.22 Yamaha shows NLA,
2780,11.2.23  Yamaha verified NLA.MM,
2781,#2132 is likely a perfect sub,
2783,ADD PHOTO WHEN AVAILABLE,
2785,ADD PHOTO WHEN AVAILABLE.,
2786,ADD PHOTO WHEN AVAILABLE.,
2787,ADD PHOTO WHEN AVAILABLE,
2788,ADD PHOTO,
2789,ADD PHOTO,
2790,ADD PHOTO WHEN AVAILABLE,
2794,ADD PHOTO,
2795,ADD PHOTO,
2796,"This board should not include buttons, so re-photo when possible",
2797,"This board should not include buttons, so re-photo when possible",
2798,"This board should not include buttons, so re-photo when possible",
2801,"There are hundreds more of these upstairs, that are not in stock.",
2805,Uses #4446 nut,
2806,ADD PHOTO,
2807,ADD PHOTO,
2809,ADD PHOTO,
2812,ADD PHOTO.,
2812,Is this the same as something we already have?,
2813,ADD PHOTO,
2814,ADD PHOTO,
2815,ADD PHOTO,
2816,ADD PHOTO,
2817,ADD PHOTO,
2818,ADD PHOTO,
2819,ADD PHOTO & SPECS,
2820,ADD PHOTO,
2822,ADD PHOTO,
2823,Newly found at Mouser.,
2823,Tech guys: Should it be a tapered lever or straight?,
2823,"If straight, Mouser should have that too.",
2824,ADD PHOTO,
2826,ADD PHOTO,
2827,ADD PHOTO,
2828,ADD PHOTO,
2829,ADD PHOTO,
2839,ADD PHOTO,
2841,ADD PHOTO - do we have this already?,
2842,Backorder 3 mos,
2848,#8343 can work as a substitute,
2850,ADD PHOTO,
2851,ADD PHOTO,
2853,ADD PHOTO,
2854,ADD PHOTO,
2855,ADD PHOTO,
2856,Frequent backorder,
2857,ADD PHOTO & DIMENSIONS,
2861,ADD PHOTO,
2863,add PHOTO,
2867,Change to New when restocking,
2868,"*** TWO CORNER MOUNTING LUGS MUST BE CLIPPED OFF BEFORE STOCKING THIS PART ***  Identical to #6153, except #2868 does not have the two additional mounting lugs.",
2868,Those lugs can be clipped off the #6153 to make this part.,
2869,ADD PHOTO & specs,
2870,ADD PHOTO,
2871,ADD PHOTO,
2872,ADD PHOTO & diameter,
2873,ADD PHOTO,
2874,ADD PHOTO WHEN AVAILABLE,
2875,"BEFORE CHECKING IN, MAKE SURE THIS IS A MATCH TO PHOTO.",
2875,Mates with #4822.,
2875,12.13.23-2.28.25 Roland shows nla,
2878,"Backordered 9+ mos   #11467 is identical pot, but with mounting lugs.",
2878,"2.17.25-2.25.25 Backordered, order 5 or more when ordering please",
2879,New part as of 8.9.22,
2880,ADD PHOTO & diameter,
2881,ADD PHOTO & specs,
2882,ADD PHOTO,
2886,*** ADD PHOTO WHEN AVAILABLE ***,
2890,ADD PHOTO,
2891,ADD PHOTO,
2892,8-pin DIP,
2893,ADD PHOTO,
2899,"ADD PHOTO, AM8000R added 6.20.24 KM",
2900,ADD PHOTO,
2902,*** UPDATE PHOTO WHEN POSSIBLE,
2903,"7.7.22 Changed photo and description now that part does not contain controller ribbon, decreased price from $44.95 to $24.95.MM",
2906,Frequent backorder 1+ mo.,
2906,7.7.22 Found part number and brought this part back to life,
2907,"12.27.24 1-22687 rec'd, leaving 1-22687 on bo",
2910,Josh is making a 3D print version of this part.,
2913,For use with #2914 steel washer,
2914,Uses #2913 nylon insert,
2915,This must go for TECH CHECK before shelving.,
2915,2.5.23 Cost increase from $ 422.45 to $ 500.23.,
2915,SRP is $714.62.,
2915,Total cost landed $ 535.09.MM.,
2915,", 1 PO 22336 arrived broken (paid 5.8.24, not rectified) and 1 PO 22342 and 1 22360",
2916,ADD PHOTO,
2917,ADD PHOTO,
2918,TAKE PHOTO WHEN AVAILABLE.,
2918,8.1.22 Sam cannot find a sub.MM,
2919,ADD PHOTO,
2920,ADD PHOTO,
2921,ADD PHOTO,
2922,ADD PHOTO,
2926,available 9.28.23 changing supplier KM arrived 10.18.23,
2928,ADD PHOTO & DIAMETER WHEN AVAILABLE,
2930,ADD PHOTO,
2931,"3 used, 2 new in stock 10/7/24",
2934,ADD PHOTO,
2939,ADD PHOTO and mounting specs,
2940,Overstock is at Syntaur North.,
2941,"Overstock in U1 , available 10.19.23",
2944,ADD PHOTO,
2945,ADD PHOTO WHEN AVAILABLE,
2947,"Frequent Backorder 4 mos   6.11.22 Price decrease from $78.75 to $60.25, available now.MM  4.24.23-6.25.23 Korg site shows NLA - replacement is #11976.",
2948,"Touch Panel is a separate part, #2949.  , available 9.28.23 changing supplier KM , cost decrease from 140 to 67.50 price not adjusted 10.3.23 KM.",
2948,10.31.24 Decreased dealer price from $269.95 to $169.97 and regular price from $269.94 to $249.95.,
2948,11.13.24 Lowered dealer to $139.97 and price to $199.95,
2949,"FREQUENT BACKORDER 5+ mos  , KO says NLA 11.20.23 supplier changed",
2951,Frequent backorder 4 mos    6/25/24 - 7 missing.,
2951,"SM, PS60 added 9.12.24",
2953,1.12.23  Sam says TI does not have this chip.,
2953,1.12.23 Expected 4/26/24 at Mouser  4/17/23 - ordered 6 on eBay.,
2953,SM,
2954,"Lengthy backorder 6.22.22-9.20.22 Korg shows nla , available 10.19.23 11.13.24 Backordered.",
2954,"2.11.25 15-22656 still on bo, orderable.",
2955,Overstock in U1,
2956,"7.6.21 Five on waitlist, putting one in stock",
2957,Korg sold on Reverb for $256.13,
2958,ADD PHOTO.,
2958,"Except for color, same as #4393 (gray) and #1054 (black)",
2962,Can order direct from Marquardt: https://www.marquardt-shop.com/products/switches/tact-and-key-switches/6450.html  5.18.22 Price increase from $1.77 to $1.98.MM   8/15/22 - NO LONGER STOCKED AT MOUSER.,
2962,SM,
2966,FREQUENT BACKORDER 3+ mos  5.24.23 This part shows NLA.,
2966,6.27.23 Korg verified NLA.MM,
2967,"new part 3.7.24, one extra sent on PO 22277 - in F section , nla 4.26.24",
2968,ADD PHOTO WHEN AVAILABLE,
2969,"Frequent backorder 1 mo , in transit 7.10.24",
2970,ADD PHOTO,
2972,"2.17.25 Korg shows nla, so changed supplier",
2973,available from Korg 10.19.23,
2975,10.3.23 Roland has three of one part number and five of the other.MM.,
2975,1.5.25 Roland has five # 04904123,
2976,"Frequent backorder 6+ mos from Korg, nla at Ko supplier changed 9.23.24 KM",
2977,"Frequent Backorder from Korg, 2 customers have recently reported defective strips 8.23.23<-got new batch since this, overstock in U8",
2979,ADD PHOTO WHEN AVAILABLE,
2981,ADD PHOTO WHEN AVAILABLE,
2983,New part 9.15.23   4.21.24-10.29.24 none avail,
2984,Overstock in U1,
2985,*** TAKE PHOTO WHEN AVAILABLE,
2987,2.16.22 Price increase from $4.48 to $5.46.MM,
2988,"10/30/24 - Stock said 1, I found 4.",
2988,SM,
2991,"ADD PHOTO, X5 and X50 added 10.4.24",
2992,ADD PHOTO WHEN AVAILABLE,
2994,ADD DIMENSIONS,
2995,ADD PHOTO,
2996,Combined with #8144,
2997,10.14.23.,
2997,"Raised price from $4.95 to $9.95, Korg shows NLA.MM",
2998,"ADD PHOTO & mounting specs, supplier changed 11.30.23 KM",
2999,ADD PHOTO WHEN AVAILABLE  11.8.22 Verified for PA2XPRO,
3007,4/26/24 - 4 missing,
3012,11/11/20 One on wait list.MM,
3014,11/11/20 Six on wait list.MM,
3022,"Prophecy added 9.12.24 KM, i2 added 9.23, iS50 added 11.20, M1R added 3.31.25",
3024,Minimum order from Signal Transformer is 75 pcs ($2500).,
3024,3.24.24 Rec'd email for bulk purchase,
3027,"4.3.24 Moved second pn to first position, Roland has 11.",
3027,4.21.24 Roland has nine.,
3027,10.12.24 Roland has 16,
3028,"#7944 is almost identical, but not interchangeable.",
3028,11.9.23-12.27.23 21 avail.,
3028,4.3.24 14 avail.,
3028,5.28.24 7 avail.,
3028,8.24.24 none avail.,
3028,9.18.24 Roland shows -1.,
3028,10.29.24-2.28.25 Roland shows -7,
3029,"Washer and nut included - TP, BO at Mouser, expect September 17, 2024.8.2.24",
3030,"***MUST CUT shaft to 15mm length and extend flat BEFORE STOCKING*** Nick has & makes these
5/3/22 - NLA at Mouser, trying Digikey part.",
3030,"<- nla 1.6.24 supplier changed KM,  Can a 10KAx2 pot be used instead?",
3031,"1004, 3031, 3277, 4406, 5509 are identical except for color.",
3031,8.13.24 We only have (5) 3277 and (2) 1004,
3032,7.14.24-2.3.25 Roland shows nla,
3033,"2/29/20 Ten on wait list.MM  10/21/20 Eight on wait list, NLA.MM  6.25.21 Sixteen on waitlist, putting one in stock.MM",
3034,"Can sub #4531, but slider knob will not fit  12.22.23 https://www.ebay.com/itm/224620644885?hash=item344c6f0a15:g:5Y8AAOSwleZiYEAm may be a sb, sent info to Sam.MM, XC2000 added 3.27",
3036,Can use #5714 if the shaft is cut down...?,
3038,11/11/20 Three on wait list.MM,
3045,Used ones in bag for shop use,
3059,"C1 added, d12 added, D1200 and D1600 added, Minilogue added, PA500 added, SP170, SP280 & SP170S added, Taktile added, X50 added Jul-Oct '24, electribe ESX1 added 11.18, K series added 11.20, Microkorg S, XL+ and XL added 12.11, KP3 added 1.22, LP-180 added 1.24",
3061,Identical to #2065 and #12015 except for color.,
3061,Frequent backorder *Sold 40 in 2020* - One used/unstocked in U502 - JC,
3062,Overstock is upstairs.,
3062,"7/25/23 - 100 ordered from All Electronics, MEX-8000 added 10.2.24 KM  10.28.24 Missing seven",
3063,"FREQUENT BACKORDER 6+ mos
3/14/25- Changed stock to reflect inventory.",
3063,2 missing.,
3063,MS,
3072,One damaged in the bin,
3073,ADD DIMENSIONS.,
3073,One broken in the bin,
3074,overstock upstairs on shelf to the left at the top of the stairs,
3076,7.29.23-2.5.24 Roland site show NLA.MM,
3080,4.21.24-2.3.25 none avail,
3081,"30 Euros ea for quantities greater than 50, order from Miguel Angel, hormi77@gmail.com
4/18/24 - Change Supplier from Mr Synth to Not Avail - he raised price to $36 each for 50 pcs!",
3089,"Make sure Mouser part matches photo (it may have a metal ring, but pin configuration is most important)",
3090,7/25/23 - 24 on order from All Electronics.,
3090,12.27.22 Missing fifty.,
3090,"Sam says received, but no one else has seen them and can't find them.",
3090,", 05R/W added 6.20.24 KM, C350 added 7.16.24 KM, T3 added 9.16",
3093,"6.11.22 Request from loaded656@icloud.com, later BX3 added 7.3.24 KM",
3097,MUST SHIP IN STURDY TUBE,
3102,Frequent backorder 2 mos  One used on shelf for tech to use.,
3103,"available 10.19.23  , nla 4.4.24",
3104,D16 added 7.23.24 KM,
3106,BX-3 early added 7.3.24 KM,
3107,ADD LENGTH,
3112,Frequent backorder 1 mo.,
3112,", works for HA1.",
3118,"Identical to 3119, except with LED window, AX1000G added 6.21 KM, C8500 added 7.17.24 KM",
3119,"Comes as duo, check in as singles.",
3119,6.5.23  Two came with first part number.,
3119,"- TP  11.21.23 Korg reduced the order from 10-22097 to 4-22097, now show as NLA on Korg's site.MM   , C8500 added 7.17.24 KM",
3122,45 upstairs,
3124,*** COPY EPROM DATA WHEN WE HAVE ONE OF THESE***  $319.95 is customer price for new board  12.6.23 Yamaha site shows NLA.,
3128,Backorder was 3 mos,
3130,"DISCONTINUED 12/9/20 Must order in units of 100, out of stock at Allied, @ $.16/ea.MM 12/28/20 Out of stock at Allied.",
3130X,"*Sold 9 in 2020** , 7 singles 10/7/22 KM.",
3130X,9.30.24 Not in stock at RS Electronics/Allied,
3143,Overstock is upstairs  6.5.23 47 missing.MM,
3145,Threaded bushing plus nut,
3149,4/20/20 Ordered from Mouser.MM,
3155,Mates with #2132 Low board  4.10.23 Sam has info from Frankie.MM,
3156,Overstock in U402.,
3156,Mates with #5079 or #5741 Upper board.,
3156,Triton Studio 88 uses 26612780.,
3156,MUST ORDER TOGETHER WITH # 5079 HIGH BOARD.,
3156,2.21.22 Price increase from $32.65 to $34.03.MM  7.30.22 One missing.MM,
3157,5.11.22 One used on the shelf for tech use only or put in stock when new are sold out.MM,
3160,7.14.24-2.3.25 Roland shows as nla,
3161,"11.12.24 Casio canceled 2-22649, this is nla",
3167,9.2.21 Added one to stock from NC.MM,
3171,"6/13/24 - Frankie confirmed that AMS-N012103800 is NLA, but gives another part number AMS-N245010320 ($125.25) that is listed for PC1X/SE, PC1, PC2/R, KME61, PC88.",
3172,"Normally, we must order in pairs.",
3172,"1.23.23 Discontinue when we sell out of singles, then avail as set only.",
3175,Frequent backorder 4+ wks.,
3175,MM  Includes nut and washer.,
3176,One used one is bagged separately with the new stock,
3177,$2.50/2,
3178,"#11319 is a good sub, N1 added 8.28.24 KM, LP-180 added 1.24",
3179,"10.17.23 Thirteen used upstairs for tech only, change number here when you take them, please.",
3180,No indicator line.,
3180,One used in bin for tech only,
3181,Can sub #13674 if needed,
3182,CAN WE 3D PRINT THIS?,
3183,CHECK LENGTH when stocking (we got incorrect ones before).,
3183,Should be 22mm from face of PCB to tip of shaft.,
3183,Can likely sub #1376 if needed (#1376 is 2mm shorter)  12/28/23 - Moved 5 from #3183 to #3702.,
3183,3 missing 2.26.24 KM,
3184,"Same as #3641, 6280 except for color",
3189,5/22/24 - Ordered 10 sets on eBay,
3203,Purchased from Technology Transplant as set of 4 for $1  10.22.22 One rubber foot is $2.75 from Roland.,
3203,Changed inventory from 16 to 1.,
3203,Part #32034 (set of 4) is available as of today.MM,
32034,#3203 x 4  10.22.22 Found 5.MM,
3204,Overstock is in U4.,
3204,These were taken from disassembled new keybeds.,
3208,12/28/23 - 1 is MIA.,
3216,Take new photo when available,
3218,"#3218, 4398, 5508, and 8163 are identical except for color.",
3218,"6.11.22 Added Krome 61, 73, and 88.MM",
3223,9.3.24 Changed supplier,
3225,"12/28/23 - Should be 500, only 200 found.",
3228,"Can sub #5703 Yamaha part, C8500 added 7.17.24 KM PA60 added 9.6",
3230,2 pieces,
3231,Frequent backorder 1.22.22 EPR website shows he has these in stock.MM,
3232,Good candidate for 3D printing,
3236,Rubbery finish.,
3236,Brushed chrome.,
3236,"11.9.23 38 avail  4.21.24 8 avail  5.30.24 2-22356 canceled by CAE, rec'd 2.",
3236,7.28.24 9 avail.,
3236,9.18.24 none avail.,
3236,10.29.24-11.4.24 -8 12.27.24 16 avail.,
3236,2.3.25 -4,
3238,ADD DIMENSIONS.,
3238,"Same as 3238, but lighter gray?",
3240,One orphan in the bag,
3241,Same as #2073 exc for color,
3243,2/1/24 - Ordered 90 from americanintegratedsupply on eBay,
3244,"Has molded indicator on top, not very visible",
3251,1.2.22  Mouser price increase from .29 to 1.19.MM,
3255,"#4445 is identical, except it has indicator line.",
3257,"MAKE SURE MOUSER PART IS CORRECT, REDO PHOTO - this new Mouser part won't have the bushing.",
3257,"Can make from 667-EVJ-Y10F03A24 (MO), cut shaft and extend flat , Mouser part obsolete, changed supplier KM 10.25.23",
3258,"Please make sure this is a match to the photo, # 04563156, new sub part number was found 5.26.23.MM.",
3258,"(If this part matches, delete this note.)",
3259,FOR 120V NORTH AMERICAN USE ONLY,
3262,"Both AM&S parts listed are for the same strip, which is 48.5 inches long, even though they say one is for black and one is for white keys.",
3265,"Can sub 4409, slightly different color, or 5513.",
3266,Not for SP88X!,
3266,*10/10/18 All they have in stock are blemished like the last one shipped to us.,
3266,HAVE GERALD PAINT WHEN IT ARRIVES.MM*   3.2.21 No longer available from AM&S.MM,
3267,Not for SP88X!,
3270,Overstock is upstairs,
3274,Frequent Backorder 4 mos.,
3276,"Can be used in E-mu instruments, but stem is 5mm shorter than the original.",
3276,So the slider knob should be installed with a dab of nail polish to hold it in place.,
3276,"Keep in stock for # 3276K, set of eight.",
3276K,Package w instructions please,
3277,"1004, 3031, 3277, 4406, 5509 are identical except for color (all are NLA).",
3277,8.13.24 We only have 3277 and (2) 1004,
3278,EL backlight is 40x93mm.,
3279,This part has slightly thinner indicator line than original,
3280,5/9/23 Ordered 10 flat belts from Console5.com - SM  5.30.23 $3.95 each when ordering more than 10.MM,
3282,Can be configured to any mains voltage,
3285,Identical to 5738 except for color.,
